"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J9","RCA-JCK-1_(RCJ-042-ALT1)","215.551mil","-1937.008mil","188.976mil","-1937.008mil","188.976mil","-1937.008mil","T","270.00","RCJ-042"
"J8","RCA-JCK-1_(RCJ-042-ALT1)","1346.457mil","-215.551mil","1346.457mil","-188.976mil","1346.457mil","-188.976mil","T","180.00","RCJ-042"
"J7","RCA-JCK-1_(RCJ-042-ALT1)","1976.378mil","-215.551mil","1976.378mil","-188.976mil","1976.378mil","-188.976mil","T","180.00","RCJ-042"
"Q1","SOT23-3","1730mil","-2050mil","1730mil","-2050mil","1767.402mil","-2011.614mil","T","270.00","Transistor NPN"
"J3","RF_Board_Mod_Inputs","970mil","-1885mil","970mil","-1635mil","970mil","-1635mil","T","270.00","1.27mm Pitch"
"Audio1","WIREPAD-09-15","1610mil","-1130mil","1610mil","-1130mil","1610mil","-1130mil","T","180.00","Wire Pad"
"Audio2","WIREPAD-09-15","1610mil","-1030mil","1610mil","-1030mil","1610mil","-1030mil","T","180.00","Wire Pad"
"C1","TH_CAP-12.5X25MM-A1K2","830mil","-1059.055mil","830mil","-1059.055mil","731.575mil","-1059.055mil","T","0.00","Cap Aluminum"
"C2","CAP_0805_N","2125mil","-1290mil","2125mil","-1290mil","2160.433mil","-1290mil","B","180.00","Cap Ceramic"
"C3","TH_CAP-6.3X11MM-A1K2","2145.339mil","-1085mil","2145.339mil","-1085mil","2096.126mil","-1085mil","T","0.00","Cap Aluminum"
"C4","CAP_0805_N","2220mil","-740mil","2220mil","-740mil","2184.567mil","-740mil","B","360.00","Cap Ceramic"
"C5","CAP_0805_N","2315mil","-455mil","2315mil","-455mil","2315mil","-419.567mil","T","270.00","Cap Ceramic"
"C6","CAP_0805_N","2184.41mil","-490mil","2184.41mil","-490mil","2148.977mil","-490mil","T","360.00","Cap Ceramic"
"C7","CAP_EIA-A_(3216)_A1K2","2212.598mil","-692.913mil","2212.598mil","-692.913mil","2212.598mil","-632.874mil","T","270.00","Cap Tantalum"
"GND","WIREPAD-09-15","900mil","-1435mil","900mil","-1435mil","900mil","-1435mil","T","90.00","Wire Pad"
"J1","PWR-JCK-ALT_(PJ-037A/B)","429.134mil","-511.811mil","311.024mil","-511.811mil","547.244mil","-511.811mil","T","360.00","PJ-037A"
"J2","RF_Board_Connector","2098.425mil","-1748.032mil","2098.425mil","-2062.992mil","2098.425mil","-2062.992mil","T","90.00","RF Board Connector"
"J4","HDR1X3-127MM_VERT_-_L","660mil","-1435mil","660mil","-1485mil","660mil","-1485mil","T","90.00","1.27mm Pitch"
"J5","MINI-DIN-8-ALT_(MD-80SM)","435.039mil","-1937.008mil","110.236mil","-1937.008mil","444.882mil","-1988.189mil","T","90.00","MD-80SM"
"R1","RES_0805_N","1554.961mil","-1933.976mil","1554.961mil","-1933.976mil","1517.559mil","-1933.976mil","T","0.00","Resistor"
"R2","RES_0805_N","1554.961mil","-2035mil","1554.961mil","-2035mil","1517.559mil","-2035mil","T","0.00","Resistor"
"RCA_A","WIREPAD-09-15","1509.886mil","-1030mil","1509.886mil","-1030mil","1509.886mil","-1030mil","T","180.00","Wire Pad"
"RCA_RF","WIREPAD-09-15","1509.907mil","-1230mil","1509.907mil","-1230mil","1509.907mil","-1230mil","T","180.00","Wire Pad"
"RCA_V","WIREPAD-09-15","1509.886mil","-1130mil","1509.886mil","-1130mil","1509.886mil","-1130mil","T","180.00","Wire Pad"
"RJA-INT","RES_0805_N","1625mil","-1575mil","1625mil","-1575mil","1662.401mil","-1575mil","T","180.00","Resistor"
"RJV-INT","RES_0805_N","1365mil","-1578.937mil","1365mil","-1578.937mil","1402.401mil","-1578.937mil","T","180.00","Resistor"
"RSYNC","RES_0805_N","1230mil","-2035mil","1230mil","-2035mil","1267.401mil","-2035mil","T","180.00","Resistor"
"SW1","SW-SPDT_(L102021ML04Q)","354.331mil","-1220.472mil","354.331mil","-1220.472mil","354.331mil","-1407.48mil","T","0.00","SW-SPDT"
"U1","TO-220AB","2492.126mil","-590.551mil","2492.126mil","-590.551mil","2492.126mil","-690.551mil","T","90.00","L7805CV"
"Video","WIREPAD-09-15","1610mil","-1230mil","1610mil","-1230mil","1610mil","-1230mil","T","180.00","Wire Pad"
"J6","MULTIOUT-2","1661.417mil","-790.157mil","1661.417mil","-653.543mil","1411.417mil","-840.157mil","T","180.00","Multiout"
"D1","DFS4","881.89mil","-515.748mil","881.89mil","-515.748mil","781.496mil","-690.945mil","T","90.00","DF206-ST"
"RJV-EXT","RES_0805_N","1365mil","-1483.937mil","1365mil","-1483.937mil","1402.401mil","-1483.937mil","T","180.00","Resistor"
"RJA-EXT","RES_0805_N","1625mil","-1480mil","1625mil","-1480mil","1662.401mil","-1480mil","T","180.00","Resistor"

